Nome,Data,Início,Fim,Frente,Tipo,Status,Observações
🟢 Saúde + modelo ASCOM,2026-07-17,10:15,11:30,Saúde,Agenda semanal,Planejado,
🟢 Saúde — escolher 1 vídeo pendente,2026-07-17,13:00,14:30,Saúde,Agenda semanal,Planejado,
🧰 Template base vídeos/stories,2026-07-17,14:30,15:30,Sistema,Agenda semanal,Planejado,
💰 Francisco Euzébio — rascunho mínimo,2026-07-17,15:30,16:15,Receita,Agenda semanal,Planejado,
💰 JJ/orçamentos/recebimentos/follow-ups,2026-07-17,16:15,17:00,Receita,Agenda semanal,Planejado,
🟣 Assembleia de Deus — abrir material/listar ações,2026-07-18,08:00,09:30,Projeto,Agenda semanal,Planejado,
🟣 MiniDoc ou Entre Tempo,2026-07-18,09:30,10:30,Projeto,Agenda semanal,Planejado,
🟣 O Fio da Memória,2026-07-18,10:30,11:30,Projeto,Agenda semanal,Planejado,
🧰 Arquivos/Drive,2026-07-18,14:00,14:45,Sistema,Agenda semanal,Planejado,
🧰 CRM/Notion/Forms ou sistema propostas,2026-07-18,14:45,15:30,Sistema,Agenda semanal,Planejado,
🧰 Skills eleja.se,2026-07-18,15:30,16:00,Sistema,Agenda semanal,Planejado,
🟠 Fotos da Eloáh,2026-07-18,16:00,16:30,Família,Agenda semanal,Planejado,
⚪ Planejamento próxima semana,2026-07-18,16:30,17:00,Base,Agenda semanal,Planejado,
⚪ Domingo livre — ócio criativo,2026-07-19,08:00,18:00,Base,Agenda semanal,Planejado,"Família, igreja, descanso, música, ideias soltas; sem cobrança operacional."
